method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,test_accuracy,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,batch_size,seed_role,small_batch,large_batch,restart_period,restart_mixing_rounds,epoch_length,domain_radius,theory_multiplier,smooth_B,data_B_per_worker,comparison_method,dataset_key,ablation_stage,ablation_method
NOG-ZO,NOG,4417,4417,4417.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.918878734111786,85.118088722229,19,100019,200019,1818151458,szo,565632,565632,70704,"[70704, 70704, 70704, 70704, 70704, 70704, 70704, 70704]",385024,4419,4419,0.4465048313140869,0.0274092555046081,0.002,0.7604495882987976,0.7646335959434509,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,4513,4513,4513.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.6085667610168457,86.99779486656189,19,100019,200019,1818151458,szo,577920,577920,72240,"[72240, 72240, 72240, 72240, 72240, 72240, 72240, 72240]",393216,4515,4515,0.4455368220806122,0.0260774232447147,0.002,0.7608795762062073,0.7650635838508606,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,4609,4609,4609.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.855916440486908,88.89710283279419,19,100019,200019,1818151458,szo,590208,590208,73776,"[73776, 73776, 73776, 73776, 73776, 73776, 73776, 73776]",401408,4611,4611,0.444638580083847,0.0261070504784584,0.002,0.7613095641136169,0.7655549645423889,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,4705,4705,4705.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8612622022628784,90.71280765533449,19,100019,200019,1818151458,szo,602496,602496,75312,"[75312, 75312, 75312, 75312, 75312, 75312, 75312, 75312]",409600,4707,4707,0.443938672542572,0.0276309140026569,0.002,0.7616473436355591,0.765677809715271,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,4801,4801,4801.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9534897804260254,92.58931493759157,19,100019,200019,1818151458,szo,614784,614784,76848,"[76848, 76848, 76848, 76848, 76848, 76848, 76848, 76848]",417792,4803,4803,0.4434475302696228,0.0298737436532974,0.002,0.7622001767158508,0.766230583190918,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,4897,4897,4897.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.1233607530593872,94.3857560157776,19,100019,200019,1818151458,szo,627072,627072,78384,"[78384, 78384, 78384, 78384, 78384, 78384, 78384, 78384]",425984,4899,4899,0.4424799978733063,0.0278447363525629,0.002,0.7640736103057861,0.7673975825309753,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,4993,4993,4993.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.0045180320739746,96.2960455417633,19,100019,200019,1818151458,szo,639360,639360,79920,"[79920, 79920, 79920, 79920, 79920, 79920, 79920, 79920]",434176,4995,4995,0.4415064454078674,0.0259926840662956,0.002,0.7661312818527222,0.769608736038208,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,5089,5089,5089.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9185031652450562,98.1973888874054,19,100019,200019,1818151458,szo,651648,651648,81456,"[81456, 81456, 81456, 81456, 81456, 81456, 81456, 81456]",442368,5091,5091,0.4405825436115265,0.0258735865354537,0.002,0.7679739594459534,0.7721270322799683,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,5185,5185,5185.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.057013988494873,100.11677479743958,19,100019,200019,1818151458,szo,663936,663936,82992,"[82992, 82992, 82992, 82992, 82992, 82992, 82992, 82992]",450560,5187,5187,0.439808040857315,0.0261210110038518,0.002,0.7687724828720093,0.7728026509284973,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,5281,5281,5281.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.7707483768463135,101.98628664016724,19,100019,200019,1818151458,szo,676224,676224,84528,"[84528, 84528, 84528, 84528, 84528, 84528, 84528, 84528]",458752,5283,5283,0.4389566481113434,0.0259438529610633,0.002,0.7704001665115356,0.7743381857872009,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,5377,5377,5377.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9855865836143494,103.80956506729126,19,100019,200019,1818151458,szo,688512,688512,86064,"[86064, 86064, 86064, 86064, 86064, 86064, 86064, 86064]",466944,5379,5379,0.4382350742816925,0.0278016328811645,0.002,0.7721507549285889,0.7761808037757874,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,5473,5473,5473.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.0355976819992063,105.6233139038086,19,100019,200019,1818151458,szo,700800,700800,87600,"[87600, 87600, 87600, 87600, 87600, 87600, 87600, 87600]",475136,5475,5475,0.4373362362384796,0.0278625600039958,0.002,0.7741162776947021,0.7786991000175476,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,5569,5569,5569.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8919130563735962,107.48977398872375,19,100019,200019,1818151458,szo,713088,713088,89136,"[89136, 89136, 89136, 89136, 89136, 89136, 89136, 89136]",483328,5571,5571,0.4365179538726806,0.0258239172399044,0.002,0.7746691107749939,0.7790061831474304,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,5665,5665,5665.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8953808546066284,109.21513438224792,19,100019,200019,1818151458,szo,725376,725376,90672,"[90672, 90672, 90672, 90672, 90672, 90672, 90672, 90672]",491520,5667,5667,0.4357524812221527,0.026277182623744,0.002,0.7747305035591125,0.7789447903633118,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,5761,5761,5761.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9839432835578918,111.0076711177826,19,100019,200019,1818151458,szo,737664,737664,92208,"[92208, 92208, 92208, 92208, 92208, 92208, 92208, 92208]",499712,5763,5763,0.4349309802055359,0.0268462486565113,0.002,0.7758054137229919,0.7796818614006042,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,5857,5857,5857.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8720613121986389,112.89736700057983,19,100019,200019,1818151458,szo,749952,749952,93744,"[93744, 93744, 93744, 93744, 93744, 93744, 93744, 93744]",507904,5859,5859,0.433905154466629,0.0249529816210269,0.002,0.7776480913162231,0.7817701697349548,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,5953,5953,5953.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8578034043312073,114.71780490875244,19,100019,200019,1818151458,szo,762240,762240,95280,"[95280, 95280, 95280, 95280, 95280, 95280, 95280, 95280]",516096,5955,5955,0.433082640171051,0.0245216079056262,0.002,0.7793065309524536,0.7833057045936584,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,6049,6049,6049.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9820074439048768,116.52267169952393,19,100019,200019,1818151458,szo,774528,774528,96816,"[96816, 96816, 96816, 96816, 96816, 96816, 96816, 96816]",524288,6051,6051,0.4324139654636383,0.0243558511137962,0.002,0.7803507447242737,0.7837970852851868,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,6145,6145,6145.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.0394439697265625,118.50277781486513,19,100019,200019,1818151458,szo,786816,786816,98352,"[98352, 98352, 98352, 98352, 98352, 98352, 98352, 98352]",532480,6147,6147,0.4315791428089142,0.0258695464581251,0.002,0.7817941904067993,0.785271167755127,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,6241,6241,6241.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8366273045539856,120.31435656547546,19,100019,200019,1818151458,szo,799104,799104,99888,"[99888, 99888, 99888, 99888, 99888, 99888, 99888, 99888]",540672,6243,6243,0.4308164715766907,0.0247479230165481,0.002,0.7822241187095642,0.7855783104896545,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,6337,6337,6337.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.152401089668274,122.20179438591003,19,100019,200019,1818151458,szo,811392,811392,101424,"[101424, 101424, 101424, 101424, 101424, 101424, 101424, 101424]",548864,6339,6339,0.4299880564212799,0.0241392590105533,0.002,0.7826541066169739,0.7861924767494202,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,6433,6433,6433.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.1064918041229248,123.9946780204773,19,100019,200019,1818151458,szo,823680,823680,102960,"[102960, 102960, 102960, 102960, 102960, 102960, 102960, 102960]",557056,6435,6435,0.4290019869804382,0.0240742899477481,0.002,0.7835447192192078,0.7871752381324768,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,6529,6529,6529.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8760568499565125,125.89670515060423,19,100019,200019,1818151458,szo,835968,835968,104496,"[104496, 104496, 104496, 104496, 104496, 104496, 104496, 104496]",565248,6531,6531,0.427923172712326,0.0241321586072444,0.002,0.7849881649017334,0.7882808446884155,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,6625,6625,6625.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.0479081869125366,127.78896045684814,19,100019,200019,1818151458,szo,848256,848256,106032,"[106032, 106032, 106032, 106032, 106032, 106032, 106032, 106032]",573440,6627,6627,0.4267380535602569,0.0246801320463418,0.002,0.7859402298927307,0.7897549271583557,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,6721,6721,6721.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.0991648435592651,129.69713640213013,19,100019,200019,1818151458,szo,860544,860544,107568,"[107568, 107568, 107568, 107568, 107568, 107568, 107568, 107568]",581632,6723,6723,0.4257530570030212,0.0248409938067197,0.002,0.7869844436645508,0.7906762361526489,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,6817,6817,6817.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.0311471223831177,131.50723028182983,19,100019,200019,1818151458,szo,872832,872832,109104,"[109104, 109104, 109104, 109104, 109104, 109104, 109104, 109104]",589824,6819,6819,0.4249724447727203,0.0238771419972181,0.002,0.787352979183197,0.7909833788871765,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,6913,6913,6913.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8883187174797058,133.3963816165924,19,100019,200019,1818151458,szo,885120,885120,110640,"[110640, 110640, 110640, 110640, 110640, 110640, 110640, 110640]",598016,6915,6915,0.4243594408035278,0.0247591752558946,0.002,0.7873836755752563,0.7909219264984131,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,7009,7009,7009.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9010815620422364,135.28520393371582,19,100019,200019,1818151458,szo,897408,897408,112176,"[112176, 112176, 112176, 112176, 112176, 112176, 112176, 112176]",606208,7011,7011,0.4235488772392273,0.0265625789761543,0.002,0.7876908183097839,0.7914746999740601,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,7105,7105,7105.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8508265614509583,137.119558095932,19,100019,200019,1818151458,szo,909696,909696,113712,"[113712, 113712, 113712, 113712, 113712, 113712, 113712, 113712]",614400,7107,7107,0.4224872589111328,0.024766981601715,0.002,0.7887657284736633,0.7923346161842346,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,7201,7201,7201.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9604333639144896,139.01292276382446,19,100019,200019,1818151458,szo,921984,921984,115248,"[115248, 115248, 115248, 115248, 115248, 115248, 115248, 115248]",622592,7203,7203,0.4215997457504272,0.0241915080696344,0.002,0.7900248765945435,0.7937473058700562,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,7297,7297,7297.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8636695146560669,140.889714717865,19,100019,200019,1818151458,szo,934272,934272,116784,"[116784, 116784, 116784, 116784, 116784, 116784, 116784, 116784]",630784,7299,7299,0.4209070801734924,0.0263473987579345,0.002,0.792266845703125,0.7955899238586426,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,7393,7393,7393.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9189180135726928,142.802668094635,19,100019,200019,1818151458,szo,946560,946560,118320,"[118320, 118320, 118320, 118320, 118320, 118320, 118320, 118320]",638976,7395,7395,0.4201217293739319,0.0260999612510204,0.002,0.7933417558670044,0.7962656021118164,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,7489,7489,7489.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9115058779716492,144.61345911026,19,100019,200019,1818151458,szo,958848,958848,119856,"[119856, 119856, 119856, 119856, 119856, 119856, 119856, 119856]",647168,7491,7491,0.4191873371601105,0.0243183337152004,0.002,0.7944473624229431,0.7971254587173462,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,7585,7585,7585.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.2745044231414795,146.4965522289276,19,100019,200019,1818151458,szo,971136,971136,121392,"[121392, 121392, 121392, 121392, 121392, 121392, 121392, 121392]",655360,7587,7587,0.4184653162956238,0.0240440107882022,0.002,0.7952765822410583,0.7978625297546387,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,7678,7678,7678.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8952998518943787,148.2114613056183,19,100019,200019,1818151458,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",663552,7680,7680,0.4177345335483551,0.0239740647375583,0.002,0.7962900400161743,0.7987224459648132,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO-NONOPT,NOG-nonopt,1,1,1.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.345249056816101,0.0707643032073974,720,100720,200720,611614606,szo,384,384,48,"[48, 48, 48, 48, 48, 48, 48, 48]",8192,3,3,0.9999979734420776,0.3626776337623596,0.002,0.7588526010513306,,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,current_NOG-nonopt,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,97,97,97.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.4325282573699951,0.5163006782531738,720,100720,200720,611614606,szo,12672,12672,1584,"[1584, 1584, 1584, 1584, 1584, 1584, 1584, 1584]",16384,99,99,0.9736799001693726,0.3626776337623596,0.002,0.7591904401779175,,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,current_NOG-nonopt,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,193,193,193.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.5017879009246826,0.9771554470062256,720,100720,200720,611614606,szo,24960,24960,3120,"[3120, 3120, 3120, 3120, 3120, 3120, 3120, 3120]",24576,195,195,0.9421315789222716,0.3626776337623596,0.002,0.7591904401779175,,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,current_NOG-nonopt,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,289,289,289.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.2970279455184937,1.4241790771484375,720,100720,200720,611614606,szo,37248,37248,4656,"[4656, 4656, 4656, 4656, 4656, 4656, 4656, 4656]",32768,291,291,0.9110901951789856,0.3626776337623596,0.002,0.7591904401779175,,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,current_NOG-nonopt,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,385,385,385.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.3588005304336548,1.8687968254089355,720,100720,200720,611614606,szo,49536,49536,6192,"[6192, 6192, 6192, 6192, 6192, 6192, 6192, 6192]",40960,387,387,0.8798700571060181,0.3626776337623596,0.002,0.7591904401779175,,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,current_NOG-nonopt,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,481,481,481.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.2811874151229858,2.3109638690948486,720,100720,200720,611614606,szo,61824,61824,7728,"[7728, 7728, 7728, 7728, 7728, 7728, 7728, 7728]",49152,483,483,0.8488678932189941,0.3626776337623596,0.002,0.7591904401779175,,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,current_NOG-nonopt,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,577,577,577.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.5432264804840088,2.7507643699646,720,100720,200720,611614606,szo,74112,74112,9264,"[9264, 9264, 9264, 9264, 9264, 9264, 9264, 9264]",57344,579,579,0.8179779052734375,0.3626776337623596,0.002,0.7591904401779175,,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,current_NOG-nonopt,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,673,673,673.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.6715912818908691,3.1961510181427,720,100720,200720,611614606,szo,86400,86400,10800,"[10800, 10800, 10800, 10800, 10800, 10800, 10800, 10800]",65536,675,675,0.7869760394096375,0.3626776337623596,0.002,0.7591904401779175,,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,current_NOG-nonopt,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,769,769,769.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.4613863229751587,3.646559715270996,720,100720,200720,611614606,szo,98688,98688,12336,"[12336, 12336, 12336, 12336, 12336, 12336, 12336, 12336]",73728,771,771,0.7559789419174194,0.3626776337623596,0.002,0.7591904401779175,,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,current_NOG-nonopt,a9a,formal,NOG-ZO-NONOPT
NOG-ZO-NONOPT,NOG-nonopt,865,865,865.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.2047197818756104,4.103697061538696,720,100720,200720,611614606,szo,110976,110976,13872,"[13872, 13872, 13872, 13872, 13872, 13872, 13872, 13872]",81920,867,867,0.7247396111488342,0.3626776337623596,0.002,0.7591904401779175,,NOG-ZO-NONOPT__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,current_NOG-nonopt,a9a,formal,NOG-ZO-NONOPT
