dataset,method,iteration,depth,total_work,epsilon_mean,epsilon_ci_low,epsilon_ci_high,seed_count
synthetic_maxsinl1,current_NOG-nonopt,186,188,192512,0.08000827134,0.07923710115,0.08077944153,20
synthetic_maxsinl1,current_NOG-nonopt,190,192,196608,0.07412481979,0.07332325203,0.07492638754,20
synthetic_maxsinl1,current_NOG-nonopt,194,196,200704,0.06799580716,0.06710571197,0.06888590235,20
synthetic_maxsinl1,current_NOG-nonopt,198,200,204800,0.06186715774,0.06100860164,0.06272571385,20
synthetic_maxsinl1,current_NOG-nonopt,202,204,208896,0.0561075341,0.05523372705,0.05698134114,20
synthetic_maxsinl1,current_NOG-nonopt,206,208,212992,0.05015260167,0.04921499514,0.0510902082,20
synthetic_maxsinl1,current_NOG-nonopt,210,212,217088,0.04435775429,0.04341294837,0.04530256021,20
synthetic_maxsinl1,current_NOG-nonopt,214,216,221184,0.0387441488,0.03781248104,0.03967581656,20
synthetic_maxsinl1,current_NOG-nonopt,218,220,225280,0.03314138437,0.03217395521,0.03410881353,20
synthetic_maxsinl1,current_NOG-nonopt,222,224,229376,0.02796011101,0.02692452339,0.02899569864,20
synthetic_maxsinl1,current_NOG-nonopt,226,228,233472,0.02307202891,0.02203536263,0.02410869518,20
synthetic_maxsinl1,current_NOG-nonopt,230,232,237568,0.01880841749,0.01791502852,0.01970180646,20
synthetic_maxsinl1,current_NOG-nonopt,234,236,241664,0.01573322364,0.01504626326,0.01642018403,20
synthetic_maxsinl1,current_NOG-nonopt,238,240,245760,0.01432514987,0.01390949122,0.01474080852,20
synthetic_maxsinl1,current_NOG-nonopt,242,244,249856,0.01492642895,0.01456404305,0.01528881486,20
synthetic_maxsinl1,current_NOG-nonopt,246,248,253952,0.01721417317,0.01661852178,0.01780982456,20
synthetic_maxsinl1,current_NOG-nonopt,250,252,258048,0.0205485044,0.01980381013,0.02129319868,20
synthetic_maxsinl1,current_NOG-nonopt,254,256,262144,0.02438329188,0.02352058409,0.02524599968,20
synthetic_maxsinl1,current_NOG-nonopt,258,260,266240,0.02834016448,0.02741962093,0.02926070802,20
synthetic_maxsinl1,current_NOG-nonopt,262,264,270336,0.03227947718,0.03134891075,0.0332100436,20
synthetic_maxsinl1,current_NOG-nonopt,266,268,274432,0.03605616987,0.03510982304,0.0370025167,20
synthetic_maxsinl1,current_NOG-nonopt,270,272,278528,0.03960060608,0.03863891255,0.0405622996,20
synthetic_maxsinl1,current_NOG-nonopt,274,276,282624,0.04289895277,0.0418878003,0.04391010525,20
synthetic_maxsinl1,current_NOG-nonopt,278,280,286720,0.04578366131,0.04472039742,0.0468469252,20
synthetic_maxsinl1,current_NOG-nonopt,282,284,290816,0.04820015654,0.04712004939,0.04928026368,20
synthetic_maxsinl1,current_NOG-nonopt,286,288,294912,0.05027373359,0.04914056273,0.05140690444,20
synthetic_maxsinl1,current_NOG-nonopt,290,292,299008,0.05197871514,0.0507872851,0.05317014518,20
synthetic_maxsinl1,current_NOG-nonopt,294,296,303104,0.05323070195,0.05198137173,0.05448003217,20
synthetic_maxsinl1,current_NOG-nonopt,298,300,307200,0.05411119536,0.05278064039,0.05544175032,20
synthetic_maxsinl1,current_NOG-nonopt,302,304,311296,0.05454021487,0.05312549435,0.05595493539,20
synthetic_maxsinl1,current_NOG-nonopt,306,308,315392,0.05453357026,0.05303995513,0.05602718539,20
synthetic_maxsinl1,current_NOG-nonopt,310,312,319488,0.05406852737,0.05248553241,0.05565152234,20
synthetic_maxsinl1,current_NOG-nonopt,314,316,323584,0.05316316243,0.05149456444,0.05483176043,20
synthetic_maxsinl1,current_NOG-nonopt,318,320,327680,0.05187127497,0.05013738698,0.05360516296,20
synthetic_maxsinl1,current_NOG-nonopt,322,324,331776,0.05019340198,0.04840622772,0.05198057625,20
synthetic_maxsinl1,current_NOG-nonopt,326,328,335872,0.0481429236,0.04629886038,0.04998698682,20
synthetic_maxsinl1,current_NOG-nonopt,330,332,339968,0.04579167254,0.04388460585,0.04769873923,20
synthetic_maxsinl1,current_NOG-nonopt,334,336,344064,0.04310964271,0.04124696545,0.04497231998,20
synthetic_maxsinl1,current_NOG-nonopt,338,340,348160,0.04027900863,0.03842509062,0.04213292665,20
synthetic_maxsinl1,current_NOG-nonopt,342,344,352256,0.03735007551,0.03553586723,0.03916428378,20
synthetic_maxsinl1,current_NOG-nonopt,346,348,356352,0.03442085255,0.03269123075,0.03615047435,20
synthetic_maxsinl1,current_NOG-nonopt,350,352,360448,0.03160130559,0.03000253245,0.03320007872,20
synthetic_maxsinl1,current_NOG-nonopt,354,356,364544,0.02900451124,0.02758799565,0.03042102682,20
synthetic_maxsinl1,current_NOG-nonopt,358,360,368640,0.02669128058,0.02551514434,0.02786741683,20
synthetic_maxsinl1,current_NOG-nonopt,362,364,372736,0.0248232591,0.02388220172,0.02576431647,20
synthetic_maxsinl1,current_NOG-nonopt,366,368,376832,0.02362143658,0.02292813876,0.0243147344,20
synthetic_maxsinl1,current_NOG-nonopt,370,372,380928,0.0230893271,0.02259301027,0.02358564394,20
synthetic_maxsinl1,current_NOG-nonopt,374,376,385024,0.02328769602,0.02273314462,0.02384224742,20
synthetic_maxsinl1,current_NOG-nonopt,378,380,389120,0.0242547418,0.0234897603,0.0250197233,20
synthetic_maxsinl1,current_NOG-nonopt,382,384,393216,0.02577935839,0.02481104654,0.02674767024,20
synthetic_maxsinl1,current_NOG-nonopt,386,388,397312,0.02786403699,0.02671977922,0.02900829475,20
synthetic_maxsinl1,current_NOG-nonopt,390,392,401408,0.0301239254,0.02889118777,0.03135666302,20
synthetic_maxsinl1,current_NOG-nonopt,394,396,405504,0.03263922557,0.03134785422,0.03393059693,20
synthetic_maxsinl1,current_NOG-nonopt,398,400,409600,0.03509618808,0.03375736779,0.03643500836,20
synthetic_maxsinl1,current_NOG-nonopt,402,404,413696,0.03748267647,0.03611595185,0.03884940108,20
synthetic_maxsinl1,current_NOG-nonopt,406,408,417792,0.03976415358,0.03841580321,0.04111250396,20
synthetic_maxsinl1,current_NOG-nonopt,410,412,421888,0.0418174535,0.04043824297,0.04319666404,20
synthetic_maxsinl1,current_NOG-nonopt,414,416,425984,0.0436402129,0.04221378014,0.04506664566,20
synthetic_maxsinl1,current_NOG-nonopt,418,420,430080,0.04515689798,0.04368663929,0.04662715666,20
synthetic_maxsinl1,current_NOG-nonopt,422,424,434176,0.04637883287,0.04483291871,0.04792474703,20
synthetic_maxsinl1,current_NOG-nonopt,426,428,438272,0.0472114468,0.04559100401,0.04883188959,20
synthetic_maxsinl1,current_NOG-nonopt,430,432,442368,0.04771181345,0.04599594199,0.04942768491,20
synthetic_maxsinl1,current_NOG-nonopt,434,436,446464,0.04785881918,0.04605330163,0.04966433673,20
synthetic_maxsinl1,current_NOG-nonopt,438,440,450560,0.04767858088,0.0457695472,0.04958761456,20
synthetic_maxsinl1,current_NOG-nonopt,442,444,454656,0.04717880487,0.045196859,0.04916075075,20
synthetic_maxsinl1,current_NOG-nonopt,446,448,458752,0.04632981773,0.04428429624,0.04837533923,20
synthetic_maxsinl1,current_NOG-nonopt,450,452,462848,0.04523213636,0.04312414701,0.04734012571,20
synthetic_maxsinl1,current_NOG-nonopt,454,456,466944,0.04390597679,0.04175607711,0.04605587646,20
synthetic_maxsinl1,current_NOG-nonopt,458,460,471040,0.04230426308,0.04015425192,0.04445427423,20
synthetic_maxsinl1,current_NOG-nonopt,462,464,475136,0.04056476988,0.03841998916,0.0427095506,20
synthetic_maxsinl1,current_NOG-nonopt,466,468,479232,0.03881463036,0.03672419871,0.04090506201,20
synthetic_maxsinl1,current_NOG-nonopt,470,472,483328,0.03687241552,0.03490040077,0.03884443028,20
synthetic_maxsinl1,current_NOG-nonopt,474,476,487424,0.03502924461,0.03317514334,0.03688334588,20
synthetic_maxsinl1,current_NOG-nonopt,478,480,491520,0.03322050255,0.03153709362,0.03490391148,20
synthetic_maxsinl1,current_NOG-nonopt,482,484,495616,0.03156330977,0.03009858077,0.03302803876,20
synthetic_maxsinl1,current_NOG-nonopt,486,488,499712,0.03013381055,0.02887400234,0.03139361876,20
synthetic_maxsinl1,current_NOG-nonopt,490,492,503808,0.02895795396,0.02793323626,0.02998267165,20
synthetic_maxsinl1,current_NOG-nonopt,494,496,507904,0.02811783534,0.02726745155,0.02896821912,20
synthetic_maxsinl1,current_NOG-nonopt,498,500,512000,0.02760214405,0.02684427715,0.02836001095,20
synthetic_maxsinl1,current_NOG-nonopt,502,504,516096,0.02744517513,0.02666706682,0.02822328343,20
synthetic_maxsinl1,current_NOG-nonopt,506,508,520192,0.02763088802,0.0267514554,0.02851032063,20
synthetic_maxsinl1,current_NOG-nonopt,510,512,524288,0.02814060999,0.02714911345,0.02913210653,20
synthetic_maxsinl1,current_NOG-nonopt,514,516,528384,0.02893752549,0.02784998231,0.03002506867,20
synthetic_maxsinl1,current_NOG-nonopt,518,520,532480,0.0299493487,0.02879636615,0.03110233125,20
synthetic_maxsinl1,current_NOG-nonopt,522,524,536576,0.03108112887,0.02989441178,0.03226784595,20
synthetic_maxsinl1,current_NOG-nonopt,526,528,540672,0.03226631824,0.0310674146,0.03346522188,20
synthetic_maxsinl1,current_NOG-nonopt,530,532,544768,0.03343908954,0.03224465598,0.03463352311,20
synthetic_maxsinl1,current_NOG-nonopt,534,536,548864,0.03465780495,0.03347703454,0.03583857535,20
synthetic_maxsinl1,current_NOG-nonopt,538,540,552960,0.03581654094,0.03461167998,0.0370214019,20
synthetic_maxsinl1,current_NOG-nonopt,542,544,557056,0.03684719168,0.03560414642,0.03809023694,20
synthetic_maxsinl1,current_NOG-nonopt,546,548,561152,0.03769549057,0.03639674871,0.03899423243,20
synthetic_maxsinl1,current_NOG-nonopt,550,552,565248,0.03843229357,0.03705242931,0.03981215783,20
synthetic_maxsinl1,current_NOG-nonopt,554,556,569344,0.03899439573,0.03756710195,0.04042168952,20
synthetic_maxsinl1,current_NOG-nonopt,558,560,573440,0.03933412377,0.03784405807,0.04082418947,20
synthetic_maxsinl1,current_NOG-nonopt,562,564,577536,0.03948301356,0.03794034681,0.04102568031,20
synthetic_maxsinl1,current_NOG-nonopt,566,568,581632,0.03943605255,0.03785514162,0.04101696349,20
synthetic_maxsinl1,current_NOG-nonopt,570,572,585728,0.03924100883,0.03762100437,0.04086101329,20
synthetic_maxsinl1,current_NOG-nonopt,574,576,589824,0.03886982072,0.03722834359,0.04051129785,20
synthetic_maxsinl1,current_NOG-nonopt,578,580,593920,0.03833739348,0.03670236145,0.0399724255,20
synthetic_maxsinl1,current_NOG-nonopt,582,584,598016,0.03760927822,0.03600116057,0.03921739588,20
synthetic_maxsinl1,current_NOG-nonopt,586,588,602112,0.03675537193,0.035171808,0.03833893586,20
synthetic_maxsinl1,current_NOG-nonopt,590,592,606208,0.03579844637,0.03425940507,0.03733748767,20
synthetic_maxsinl1,current_NOG-nonopt,594,596,610304,0.0347926599,0.03327727691,0.03630804288,20
synthetic_maxsinl1,current_NOG-nonopt,598,600,614400,0.03372063432,0.03228975237,0.03515151627,20
synthetic_maxsinl1,current_NOG-nonopt,602,604,618496,0.03262290843,0.03126520199,0.03398061487,20
synthetic_maxsinl1,current_NOG-nonopt,606,608,622592,0.03157227989,0.03029372471,0.03285083508,20
synthetic_maxsinl1,current_NOG-nonopt,610,612,626688,0.03055672729,0.02939360496,0.03171984962,20
synthetic_maxsinl1,current_NOG-nonopt,614,616,630784,0.02965354286,0.02861808295,0.03068900277,20
synthetic_maxsinl1,current_NOG-nonopt,618,620,634880,0.02891978044,0.02800886318,0.0298306977,20
synthetic_maxsinl1,current_NOG-nonopt,622,624,638976,0.02824945264,0.02749230133,0.02900660394,20
synthetic_maxsinl1,current_NOG-nonopt,626,628,643072,0.02783089308,0.02717434271,0.02848744345,20
synthetic_maxsinl1,current_NOG-nonopt,630,632,647168,0.0275222172,0.02691438473,0.02813004968,20
synthetic_maxsinl1,current_NOG-nonopt,634,636,651264,0.02740627285,0.02678018535,0.02803236035,20
synthetic_maxsinl1,current_NOG-nonopt,638,640,655360,0.02746196287,0.02673436629,0.02818955944,20
synthetic_maxsinl1,current_NOG-nonopt,642,644,659456,0.02768744566,0.02681010152,0.02856478979,20
synthetic_maxsinl1,current_NOG-nonopt,646,648,663552,0.02805809481,0.02705009332,0.0290660963,20
synthetic_maxsinl1,current_NOG-nonopt,650,652,667648,0.02853312716,0.02740254199,0.02966371233,20
synthetic_maxsinl1,current_NOG-nonopt,654,656,671744,0.02912520031,0.02788837396,0.03036202665,20
synthetic_maxsinl1,current_NOG-nonopt,658,660,675840,0.02973288056,0.02841335593,0.03105240518,20
synthetic_maxsinl1,current_NOG-nonopt,662,664,679936,0.03036855366,0.02898683769,0.03175026963,20
synthetic_maxsinl1,current_NOG-nonopt,666,668,684032,0.03106423253,0.02962488649,0.03250357858,20
synthetic_maxsinl1,current_NOG-nonopt,670,672,688128,0.0316797764,0.03019543666,0.03316411615,20
synthetic_maxsinl1,current_NOG-nonopt,674,676,692224,0.03229243103,0.03076849309,0.03381636897,20
synthetic_maxsinl1,current_NOG-nonopt,678,680,696320,0.03282902213,0.03126057139,0.03439747287,20
synthetic_maxsinl1,current_NOG-nonopt,682,684,700416,0.03326667817,0.03165361246,0.03487974389,20
synthetic_maxsinl1,current_NOG-nonopt,686,688,704512,0.03362894505,0.03195707994,0.03530081017,20
synthetic_maxsinl1,current_NOG-nonopt,690,692,708608,0.03385793818,0.0321278194,0.03558805697,20
synthetic_maxsinl1,current_NOG-nonopt,694,696,712704,0.03393849377,0.03214819981,0.03572878772,20
synthetic_maxsinl1,current_NOG-nonopt,698,700,716800,0.03390662475,0.03207488315,0.03573836634,20
synthetic_maxsinl1,current_NOG-nonopt,702,704,720896,0.03371629789,0.03184654409,0.0355860517,20
synthetic_maxsinl1,current_NOG-nonopt,706,708,724992,0.03341194037,0.03151152912,0.03531235163,20
synthetic_maxsinl1,current_NOG-nonopt,710,712,729088,0.03301444752,0.0310952087,0.03493368634,20
synthetic_maxsinl1,current_NOG-nonopt,714,716,733184,0.03252950143,0.03059939703,0.03445960583,20
synthetic_maxsinl1,current_NOG-nonopt,718,720,737280,0.0319388032,0.0300269958,0.03385061059,20
synthetic_maxsinl1,current_NOG-nonopt,722,724,741376,0.0313366184,0.02945307341,0.03322016339,20
synthetic_maxsinl1,current_NOG-nonopt,726,728,745472,0.03071132246,0.02888897797,0.03253366696,20
synthetic_maxsinl1,current_NOG-nonopt,730,732,749568,0.0300764421,0.02835112946,0.03180175474,20
synthetic_maxsinl1,current_NOG-nonopt,734,736,753664,0.02947711777,0.02786123587,0.03109299967,20
synthetic_maxsinl1,current_NOG-nonopt,738,740,757760,0.02891774932,0.02742624379,0.03040925485,20
synthetic_maxsinl1,current_NOG-nonopt,742,744,761856,0.02842899784,0.02706620511,0.02979179058,20
synthetic_maxsinl1,current_NOG-nonopt,746,748,765952,0.02799885832,0.02676103267,0.02923668397,20
synthetic_maxsinl1,current_NOG-nonopt,750,752,770048,0.02763106609,0.02650411566,0.02875801652,20
synthetic_maxsinl1,current_NOG-nonopt,754,756,774144,0.02734686844,0.02632259226,0.02837114463,20
synthetic_maxsinl1,current_NOG-nonopt,758,760,778240,0.02719038799,0.02622992285,0.02815085314,20
synthetic_maxsinl1,current_NOG-nonopt,762,764,782336,0.02712566666,0.02619592016,0.02805541317,20
synthetic_maxsinl1,current_NOG-nonopt,766,768,786432,0.02718347264,0.02625288769,0.0281140576,20
synthetic_maxsinl1,current_NOG-nonopt,770,772,790528,0.02733489135,0.02639038764,0.02827939507,20
synthetic_maxsinl1,current_NOG-nonopt,774,776,794624,0.0275512293,0.02657637958,0.02852607901,20
synthetic_maxsinl1,current_NOG-nonopt,778,780,798720,0.02783418028,0.02680859804,0.02885976251,20
synthetic_maxsinl1,current_NOG-nonopt,782,784,802816,0.02816673592,0.02709779377,0.02923567806,20
synthetic_maxsinl1,current_NOG-nonopt,786,788,806912,0.02856403021,0.02744278666,0.02968527376,20
synthetic_maxsinl1,current_NOG-nonopt,790,792,811008,0.02898182804,0.02782061725,0.03014303883,20
synthetic_maxsinl1,current_NOG-nonopt,794,796,815104,0.02937104963,0.02818457082,0.03055752843,20
synthetic_maxsinl1,current_NOG-nonopt,798,800,819200,0.02977780579,0.02856410742,0.03099150415,20
synthetic_maxsinl1,current_NOG-nonopt,802,804,823296,0.03010263462,0.02887059961,0.03133466962,20
synthetic_maxsinl1,current_NOG-nonopt,806,808,827392,0.03040132988,0.02916360856,0.03163905121,20
synthetic_maxsinl1,current_NOG-nonopt,810,812,831488,0.030619305,0.02937792619,0.03186068381,20
synthetic_maxsinl1,current_NOG-nonopt,814,816,835584,0.03076845743,0.02952840799,0.03200850687,20
synthetic_maxsinl1,current_NOG-nonopt,818,820,839680,0.03086645287,0.02962402019,0.03210888554,20
synthetic_maxsinl1,current_NOG-nonopt,822,824,843776,0.03087936053,0.02963903521,0.03211968585,20
synthetic_maxsinl1,current_NOG-nonopt,826,828,847872,0.03084304975,0.0295995631,0.03208653641,20
synthetic_maxsinl1,current_NOG-nonopt,830,832,851968,0.03075425019,0.02950880458,0.03199969581,20
synthetic_maxsinl1,current_NOG-nonopt,834,836,856064,0.03061814196,0.02937112423,0.0318651597,20
synthetic_maxsinl1,current_NOG-nonopt,838,840,860160,0.03041663757,0.02916385799,0.03166941714,20
synthetic_maxsinl1,current_NOG-nonopt,842,844,864256,0.03017875347,0.02892643837,0.03143106858,20
synthetic_maxsinl1,current_NOG-nonopt,846,848,868352,0.02992295539,0.02868991807,0.03115599271,20
synthetic_maxsinl1,current_NOG-nonopt,850,852,872448,0.02963765198,0.02842850091,0.03084680306,20
synthetic_maxsinl1,current_NOG-nonopt,854,856,876544,0.02935143542,0.02817931007,0.03052356076,20
synthetic_maxsinl1,current_NOG-nonopt,858,860,880640,0.02907102518,0.02794663608,0.03019541428,20
synthetic_maxsinl1,current_NOG-nonopt,862,864,884736,0.02879237952,0.02772355351,0.02986120553,20
synthetic_maxsinl1,current_NOG-nonopt,866,868,888832,0.02853067573,0.02751591724,0.02954543422,20
synthetic_maxsinl1,current_NOG-nonopt,870,872,892928,0.02826391347,0.02732077178,0.02920705515,20
synthetic_maxsinl1,current_NOG-nonopt,874,876,897024,0.02805206357,0.02716975328,0.02893437385,20
synthetic_maxsinl1,current_NOG-nonopt,878,880,901120,0.02785134921,0.02704242843,0.02866026999,20
synthetic_maxsinl1,current_NOG-nonopt,882,884,905216,0.02771307686,0.02697289304,0.02845326069,20
synthetic_maxsinl1,current_NOG-nonopt,886,888,909312,0.02761262432,0.02692518595,0.02830006269,20
synthetic_maxsinl1,current_NOG-nonopt,890,892,913408,0.02757158978,0.02690915723,0.02823402233,20
synthetic_maxsinl1,current_NOG-nonopt,894,896,917504,0.02753503285,0.02687491278,0.02819515293,20
synthetic_maxsinl1,current_NOG-nonopt,898,900,921600,0.02755138371,0.02685088712,0.0282518803,20
synthetic_maxsinl1,current_NOG-nonopt,902,904,925696,0.02761585116,0.02684081945,0.02839088288,20
synthetic_maxsinl1,current_NOG-nonopt,906,908,929792,0.02772589773,0.02686387863,0.02858791683,20
synthetic_maxsinl1,current_NOG-nonopt,910,912,933888,0.02787325308,0.02691753895,0.0288289672,20
synthetic_maxsinl1,current_NOG-nonopt,914,916,937984,0.02804362588,0.02700526052,0.02908199123,20
synthetic_maxsinl1,current_NOG-nonopt,918,920,942080,0.02822358087,0.02710581028,0.02934135145,20
synthetic_maxsinl1,current_NOG-nonopt,922,924,946176,0.02842042204,0.02724751454,0.02959332954,20
synthetic_maxsinl1,current_NOG-nonopt,926,928,950272,0.02859434374,0.0274057873,0.02978290017,20
synthetic_maxsinl1,current_NOG-nonopt,930,932,954368,0.02878112337,0.02759449099,0.02996775574,20
synthetic_maxsinl1,current_NOG-nonopt,934,936,958464,0.02896447936,0.02780134667,0.03012761205,20
synthetic_maxsinl1,current_NOG-nonopt,938,940,962560,0.02912726989,0.02800855075,0.03024598903,20
synthetic_maxsinl1,current_NOG-nonopt,942,944,966656,0.02925036391,0.0281850202,0.03031570763,20
synthetic_maxsinl1,current_NOG-nonopt,946,948,970752,0.02933289511,0.02832590577,0.03033988445,20
synthetic_maxsinl1,current_NOG-nonopt,950,952,974848,0.02939196425,0.02845493286,0.03032899564,20
synthetic_maxsinl1,current_NOG-nonopt,954,956,978944,0.02941040276,0.02855832402,0.03026248149,20
synthetic_maxsinl1,current_NOG-nonopt,958,960,983040,0.02938361373,0.02859181739,0.03017541007,20
synthetic_maxsinl1,current_NOG-opt,2,4,4096,0.25004583,0.2492277945,0.2508638655,20
synthetic_maxsinl1,current_NOG-opt,6,8,8192,0.2493152,0.2485074722,0.2501229278,20
synthetic_maxsinl1,current_NOG-opt,10,12,12288,0.2492046006,0.2484030224,0.2500061788,20
synthetic_maxsinl1,current_NOG-opt,14,16,16384,0.2489028461,0.2481056764,0.2497000159,20
synthetic_maxsinl1,current_NOG-opt,18,20,20480,0.2484110698,0.2476193084,0.2492028312,20
synthetic_maxsinl1,current_NOG-opt,22,24,24576,0.2477301337,0.2469513998,0.2485088676,20
synthetic_maxsinl1,current_NOG-opt,26,28,28672,0.2468641274,0.2460870173,0.2476412374,20
synthetic_maxsinl1,current_NOG-opt,30,32,32768,0.2458060876,0.2450273739,0.2465848012,20
synthetic_maxsinl1,current_NOG-opt,34,36,36864,0.244601883,0.2438354599,0.2453683061,20
synthetic_maxsinl1,current_NOG-opt,38,40,40960,0.2431416638,0.2423874802,0.2438958475,20
synthetic_maxsinl1,current_NOG-opt,42,44,45056,0.2415470853,0.2408112259,0.2422829448,20
synthetic_maxsinl1,current_NOG-opt,46,48,49152,0.2397670709,0.2390422998,0.2404918419,20
synthetic_maxsinl1,current_NOG-opt,50,52,53248,0.2378077351,0.2371055822,0.238509888,20
synthetic_maxsinl1,current_NOG-opt,54,56,57344,0.2356314778,0.234937897,0.2363250587,20
synthetic_maxsinl1,current_NOG-opt,58,60,61440,0.2333132535,0.2326514202,0.2339750868,20
synthetic_maxsinl1,current_NOG-opt,62,64,65536,0.230885388,0.2302449971,0.2315257788,20
synthetic_maxsinl1,current_NOG-opt,66,68,69632,0.2282066502,0.2276013283,0.2288119721,20
synthetic_maxsinl1,current_NOG-opt,70,72,73728,0.2253750309,0.2247783439,0.225971718,20
synthetic_maxsinl1,current_NOG-opt,74,76,77824,0.2223192222,0.2217808635,0.2228575809,20
synthetic_maxsinl1,current_NOG-opt,78,80,81920,0.2192471467,0.2186830833,0.2198112101,20
synthetic_maxsinl1,current_NOG-opt,82,84,86016,0.2159069471,0.2153787065,0.2164351877,20
synthetic_maxsinl1,current_NOG-opt,86,88,90112,0.2124877244,0.2120011628,0.2129742861,20
synthetic_maxsinl1,current_NOG-opt,90,92,94208,0.2087803856,0.2082615552,0.2092992159,20
